ACO Doing Business As (DBA) or Legal Business Name (LBN),States Where Beneficiaries Reside ,Agreement Start Date,Track,Participate in Advance Payment Model , Total Assigned Beneficiaries ,Total Benchmark Expenditures,Total Expenditures,Total Benchmark Expenditures Minus Total Assigned Beneficiary Expenditures,Total Benchmark Minus Assigned Beneficiary Expenditures as % of Total Benchmark,"Generated Savings/Losses1,2","Earned Shared Savings Payments/Owe Losses3,4",Successfully Reported Quality5,Quality Score6,ACO-1,ACO-2,ACO-3,ACO-4,ACO-5,ACO-6,ACO-7,ACO-8^,ACO-9^,ACO-10^,ACO-11,ACO-12,ACO-13,ACO-14,ACO-15,ACO-16,ACO-17,ACO-18,ACO-19,ACO-20,ACO-21,DM Composite,ACO-22,ACO-23,ACO-24,ACO-25,ACO-26,ACO-27^,ACO-28,ACO-29,ACO-30,ACO-31,CAD Composite,ACO-32,ACO-33
University Hospitals Coordinated Care Organization,Ohio,07/01/2012,Track1,No,46100,$453910648,$444843100,$9067549,2%,,-,Yes,81.88%,80.56,92.56,93.32,84.74,54.44,72.83,70.88,15.11,1.2,1.08,83.24,77.84,38.37,57.4,57.11,54.82,93.91,22.35,63.52,61.62,57.76,32.58,74.21,60.86,70.81,87.33,83.43,15.54,69.25,62.69,82.43,83.33,61.48,67.89,76.65
UPSA ACO LLC,Texas,01/01/2014,Track1,No,5817,$48934527,$50733363,$-1798836,-3.68%,,-,Yes,P4R,79.93,92.91,92.75,84.26,59.1,71.76,71.43,15.4,0.8,1.13,71.43,97.16,15.93,42.47,49.18,75,89.64,42.31,51.97,59.9,71.85,30.13,71.36,64.07,72.02,82.28,82.23,19.04,70.57,67.7,85.12,88.89,76.66,81.65,84.55
UR Care LLC,Maryland,01/01/2014,Track1,No,6048,$69120079,$66193872,$2926208,4.23%,$2926208,-,No,P4R,,,,,,,,14.57,2.33,1.89,31.25,,,,,,,,,,,,,,,,,,,,,,,,
USMD Physician Services,Texas,01/01/2014,Track1,No,20627,$167826124,$165382420,$2443704,1.46%,,-,Yes,P4R,82.09,92.52,92.79,82.71,62.92,76.15,71.06,14.08,0.78,1.03,95.74,99.01,51.91,76.14,82.63,83.73,96.93,22.09,83.25,77.1,89.73,42.88,77.25,72.18,76.6,97.38,84.86,11.31,73.23,66.91,92.14,97.06,89.31,90.95,95.77
UT Southwestern Accountable Care Network,Texas,01/01/2014,Track1,No,18964,$219141543,$213131268,$6010275,2.74%,$6010275,"$2,945,035 ",Yes,P4R,80.43,93.15,93.03,85.92,61.39,75.8,71.73,14.81,0.95,1.28,86.21,96.17,56.78,56.43,70.76,73.97,95.55,31.46,67.91,60.27,60.48,25.25,68.73,62.21,63.38,76.92,92.13,21.07,60.85,62.28,85.94,95.12,83.54,91.39,82.14
"UW Health ACO, Inc.",Wisconsin,01/01/2013,Track1,No,28598,$223361613,$227807882,$-4446270,-1.99%,,-,Yes,94.34%,81.94,92.89,92.46,86.54,58.62,79.04,73.93,14.75,0.69,1.03,97.93,73.12,68.59,85.99,92.5,72.97,97.81,54.72,83.76,83.53,67.52,41.98,78.48,73,76.79,87.76,95.12,8.98,75.99,69.34,93.67,97.44,75.69,82.13,82.03
"Via Christi Health Alliance in Accountable Care, Inc.",Kansas,01/01/2014,Track1,No,19906,$146510525,$144805001,$1705524,1.16%,,-,Yes,P4R,82.31,92.67,92.25,83.97,55.41,75.71,73.93,13.67,0.52,0.9,90.43,47.87,18.14,61.39,65.01,42.97,88.64,10.66,47.19,68.95,26.26,19.51,76.68,42.83,66.82,87.67,85.71,13.94,64.84,44.12,83.03,81.05,55.96,60.28,79.49
"Virginia Collaborative Care, LLC.",Virginia,01/01/2013,Track1,No,10807,$115937108,$109195062,$6742046,5.82%,$6742046,"$2,808,062 ",Yes,85.00%,82.88,92.12,90.76,83.3,55.89,73.02,71.77,16.03,1.35,1.31,72.22,85.78,35.85,57.76,50.31,65.98,78.16,42.92,51.54,50.98,47.39,26.7,69.79,64.4,72.13,76.58,80.7,21.45,68.85,61.45,82.96,76.67,69.54,78.68,75.38
VirtuaCare,New Jersey,01/01/2013,Track1,No,15837,$147108699,$164333276,$-17224577,-11.71%,,-,Yes,88.19%,79.16,92.92,92.77,83.56,60.08,74.28,70.48,14.89,1.56,1.35,89.01,96.12,65.9,67.96,62.6,72.24,90.61,68.13,56.72,61.9,64.22,36.02,75.33,71.22,77.96,80.92,79.11,13.46,73.73,67.01,86.39,92.93,80.44,91.05,71.02
"WakeMed Key Community Care, LLC",North Carolina,01/01/2014,Track1,No,27818,$211588513,$210367218,$1221295,0.58%,,-,Yes,P4R,82.29,92.61,92.48,82.04,62.18,74.72,72.42,14.41,0.9,1.18,83.93,88.56,44.37,72.53,71.06,75.69,93.82,44.93,70.36,66.07,53.08,26.47,79.96,60.11,73.71,72.61,85.21,11.72,67.16,63.01,91.87,90.15,64.89,70.69,82.17
Well Virginia,Virginia,01/01/2014,Track1,No,20120,$174570240,$172883147,$1687093,0.97%,,-,Yes,P4R,82.57,92.13,91.6,85.28,58.13,74.95,72.21,14.71,0.76,1.18,96.12,99.61,31.95,73.38,77.37,61.22,97.08,10.91,59.22,70.32,57.18,26.52,71.29,52.31,65.94,99.76,98.57,16.79,60.58,57.66,95.62,93.67,87.83,95.4,82.2
Wellmont Integrated Network,"Virginia,  Tennessee",01/01/2013,Track1,No,11130,$93380151,$95114128,$-1733977,-1.86%,,-,Yes,85.45%,76.25,92.55,91.14,85.54,53.45,76.43,66.15,15.8,1.11,1.26,88.89,100,41.61,63.33,40.13,90.48,89.16,19.28,51.2,63.07,80.81,25.54,73.49,54.22,67.71,79.04,87.61,14.94,61.94,50.6,95.9,98.57,85.95,100,72.81
"WellStar Health Network, LLC",Georgia,07/01/2012,Track1,No,38331,$349555310,$340630386,$8924924,2.55%,$8924924,"$3,783,610 ",Yes,86.52%,80.18,93.21,92.95,86.2,57.08,76.68,72.09,14.27,1.01,1.46,88.74,95.82,40.53,61.24,55.63,60.64,94.41,12.26,61.39,67.23,48.19,31.78,71.96,64.49,66.12,84.11,86.47,17.99,66.89,66.51,87.02,95.33,76.08,81.31,85.44
"West Florida ACO, LLC",Florida,04/01/2012,Track1,No,17970,$228926044,$214773849,$14152196,6.18%,$14152196,"$6,326,253 ",Yes,91.23%,84.14,91.43,90.35,85.49,59.28,78.68,70.63,15.33,1.68,1.18,80.46,99.06,75.87,73.62,59.48,89.98,96.26,69.45,73.5,75.37,89.42,34.8,75.51,61.49,76.52,82.94,88.31,14.52,71.11,64.2,90.36,93.66,77.34,78.92,91.56
WESTMED Medical Group,"New York,  Connecticut",07/01/2012,Track1,No,12273,$108348393,$101126474,$7221919,6.67%,$7221919,"$3,266,226 ",Yes,92.30%,81.87,92.34,92.77,85.23,56.66,75.44,73.44,14.75,0.74,0.73,88.89,95.74,50.57,70.85,79.77,80.1,99.18,48.13,78.33,81.76,34.08,49.58,82.2,76.04,78.7,93.68,89.33,9.82,75.22,74.86,81.9,86.84,82.72,87.32,85.58
Winchester Community ACO,"Massachusetts,  New Hampshire",01/01/2013,Track1,No,6245,$68092382,$57179383,$10912999,16.03%,$10912999,"$4,946,317 ",Yes,92.50%,83.94,94.11,93.32,86.27,66.25,74.19,73.52,14.71,1.62,1.19,87.18,93.97,79.67,85.05,80.98,84.17,95.09,69.5,63.22,81.15,44.04,36.97,75.63,70.8,81.09,82.98,92.45,9.66,79.73,70.09,91.52,96.77,76.75,87.61,72.83
Yavapai Accountable Care,"Texas,  Arizona",01/01/2013,Track1,No,13300,$125270343,$131330049,$-6059706,-4.84%,,-,Yes,87.81%,82.51,91.57,90.82,83.32,58.37,77.6,71.87,14.73,0.86,1.18,55.56,99.18,61.92,56.7,52.56,89.67,97.52,73.47,53.31,67.55,95.23,24.17,73.91,55.34,64.97,82.31,85.38,16.46,64.6,53.96,79.8,90.84,84.44,91.63,80.35
Yuma Connected Community,Arizona,01/01/2013,Track1,No,4012,$32636558,$35325853,$-2689295,-8.24%,,-,No,0.00%,72.25,92.29,90.64,80.81,55.54,76.99,71.57,15.05,1.03,1.03,50,,,,,,,,,,,,,,,,,,,,,,,,
